"os_nr","os_navn","Dato","Tid","psal","DKI","DKI_pooled","diff"
93000255,"158",20230425,1200,33.1961166666667,0.669923309885073,0.684086269497483,0.0141629596124095
93000256,"16N21",20230425,1200,33.1961166666667,0.632331090563763,0.622353361376851,-0.00997772918691286
93000258,"155",20230511,1200,31.0788043478261,0.833561403580369,0.835847871197719,0.00228646761734996
93000259,"P 6",20230523,1200,33.6972826086957,0.773984916950836,0.773286647265053,-0.000698269685782793
93000261,"P26",20230511,1200,31.0788043478261,0.895145302027955,0.896942035314285,0.00179673328632968
93000263,"409",20230223,1200,28.1113130434783,0.671757417240528,0.67021695230435,-0.00154046493617721
93000264,"P11",20230425,1200,33.9093333333333,0.670586101698142,0.671837345909492,0.00125124421135026
93000265,"P9",20230523,1200,31.0788043478261,0.750362682240695,0.756241653635347,0.00587897139465199
93000266,"P35",20230523,1200,31.3815666666667,0.752344501431663,0.749503687610323,-0.00284081382133949
93000269,"P23",20230223,1200,31.5793571428571,0.784316110027028,0.784404011065716,8.79010386884982e-05
93010001,"Læsø Syd",20230421,1200,33.9093333333333,0.765026705933278,0.762983706023306,-0.0020429999099717
93010002,"Nordre Rønner",20230516,1200,33.1961166666667,0.813491422029744,0.809371417191443,-0.00412000483830122
93020014,"42",20230511,1200,31.0788043478261,0.861633123214875,0.828422600432354,-0.0332105227825202
93020015,"49",20230511,1200,31.0788043478261,0.705709618312261,0.704425225466758,-0.00128439284550297
93100055,"1402",20230523,1200,32.8976347826087,0.759879970432442,0.760566045903695,0.000686075471252767
93220017,"BF12",20230503,1200,18.90245,0.64749566027337,0.660738925903624,0.013243265630254
93500119,"HB01",20230512,1200,28.5161826086957,0.833619601601209,0.837982489417611,0.00436288781640182
93610081,"MF01",20230222,1200,16.27307,0.765649683886122,0.766203809292408,0.000554125406285744
93620005,"4404",20230515,1200,27.0065333333333,0.726738569035929,0.728451530897051,0.00171296186112158
93730012,"Løgstør omr",20230329,1200,27.247165,0.731383415540369,0.697852266662788,-0.0335311488775816
93740049,"Skive omr",20230331,1200,25.6025285714286,0.58966000129973,0.611080180697684,0.0214201793979534
93800021,"P21",20230425,1200,33.54355,0.661389728177096,0.663713747472146,0.00232401929505055
93900054,"1416",20230425,1200,32.7784565217391,0.766046288987904,0.762263025271093,-0.00378326371681059
93920067,"P46",20230425,1200,32.7784565217391,0.571181421539486,0.568936257009661,-0.00224516452982504
94010213,"14",20230223,1200,29.5961222222222,0.824924408342524,0.827655158464739,0.00273075012221446
94120008,"BF_SEJ",20230517,1200,29.1714045454545,0.814688977369566,0.811999335280904,-0.0026896420886624
