"Artsnavn","species","AMBI","AMBI_group"
"Sedentaria indet.","Sedentaria",FALSE,
"Semibalanus balanoides","Semibalanus balanoides",TRUE,1
"Sigalion mathildae","Sigalion mathildae",TRUE,2
"Siphonoecetes kroyeranus","Siphonoecetes kroyeranus",TRUE,1
"Sipuncula indet.","Sipuncula",TRUE,1
"Sorgenfreispira brachystoma","Sorgenfreispira brachystoma",TRUE,1
"Sphaeroma hookeri","Sphaeroma hookeri",TRUE,3
"Sphaeroma rugicauda","Sphaeroma rugicauda",TRUE,3
"Spio filicornis","Spio filicornis",TRUE,3
"Spionidae indet.","Spionidae",TRUE,3
"Spiophanes bombyx","Spiophanes bombyx",TRUE,3
"Spiophanes kroyeri","Spiophanes kroyeri",TRUE,3
"Spirobranchus triqueter","Spirobranchus triqueter",TRUE,2
"Spirorbis sp.","Spirorbis sp.",TRUE,2
"Spirorbis spirorbis","Spirorbis spirorbis",FALSE,
"Spisula elliptica","Spisula elliptica",TRUE,1
"Spisula solida","Spisula solida",TRUE,1
"Spisula subtruncata","Spisula subtruncata",TRUE,1
"Sthenelais limicola","Sthenelais limicola",TRUE,2
"Streblospio shrubsolii","Streblospio shrubsolii",TRUE,3
"Streptosyllis websteri","Streptosyllis websteri",TRUE,3
"Strongylocentrotus droebachiensis","Strongylocentrotus droebachiensis",TRUE,1
"Syllidae indet.","Syllidae",FALSE,
"Syllidia armata","Syllidia armata",TRUE,2
"Syllis gracilis","Syllis gracilis",TRUE,2
"Synchelidium haplocheles","Synchelidium haplocheles",TRUE,1
"Synelmis klatti","Synelmis klatti",TRUE,2
"TELLINA","Tellina sp.",TRUE,1
"TEREBELLIDAE","Terebellidae",TRUE,1
"TUBULARIA","Tubularia sp.",TRUE,1
"TURBONILLA","Turbonilla sp.",TRUE,1
"Tanaidacea indet.","Tanaidacea",TRUE,2
"Tanaissus lilljeborgi","Tanaissus lilljeborgi",TRUE,3
"Tellimya ferruginosa","Tellimya ferruginosa",TRUE,2
"Tellimya tenella","Tellimya tenella",TRUE,2
"Tellina fabula","Tellina fabula",TRUE,1
"Tellina tenuis","Tellina tenuis",TRUE,1
"Terebellida indet.","Terebellidae",TRUE,1
"Terebellidae indet.","Terebellidae",TRUE,1
"Terebellides stroemi","Terebellides stroemii",TRUE,2
"Terebellomorpha indet.","Terebellomorpha",FALSE,
"Testudinalia testudinalis","Testudinalia testudinalis",TRUE,1
"Tharyx killariensis","Tharyx killariensis",TRUE,4
"Theodoxus fluviatilis","Theodoxus fluviatilis",TRUE,1
"Thracia phaseolina","Thracia phaseolina",TRUE,1
"Thyasira flexuosa","Thyasira flexuosa",TRUE,3
"Tonicella rubra","Tonicella rubra",TRUE,1
"Travisia forbesii","Travisia forbesii",TRUE,1
"Trichobranchus glacialis","Trichobranchus glacialis",TRUE,2
"Trichobranchus roseus","Trichobranchus roseus",TRUE,2
"Trichoptera indet.","Trichoptera",FALSE,
"Tritia reticulata","Tritia reticulata",TRUE,2
"Tritia varicosa","Tritia varicosa",TRUE,2
"Trochochaeta multisetosa","Trochochaeta multisetosa",TRUE,3
"Tryphosites longipes","Tryphosites longipes",TRUE,1
"Tubificoides benedii","Tubificoides benedii",TRUE,5
"Turbellaria indet.","Turbellaria",TRUE,2
"Turritella communis","Turritella communis",TRUE,2
"Typosyllis armillaris","Typosyllis armillaris",TRUE,2
"Unciola planipes","Unciola planipes",TRUE,1
"Upogebia stellata","Upogebia stellata",TRUE,1
"Urothoe elegans","Urothoe elegans",TRUE,1
"Urothoe grimaldii","Urothoe grimaldii",TRUE,1
"Urothoe poseidonis","Urothoe poseidonis",TRUE,1
"VENERIDAE","Veneridae",TRUE,1
"Vitreolina philippi","Vitreolina philippi",TRUE,1
"Westwoodilla caecula","Westwoodilla caecula",TRUE,2
